Date of Journey,0
2024-01-01,66
2024-01-02,146
2024-01-03,292
2024-01-04,274
2024-01-05,253
2024-01-06,250
2024-01-07,248
2024-01-08,289
2024-01-09,266
2024-01-10,268
2024-01-11,290
2024-01-12,277
2024-01-13,275
2024-01-14,265
2024-01-15,250
2024-01-16,273
2024-01-17,293
2024-01-18,301
2024-01-19,274
2024-01-20,267
2024-01-21,248
2024-01-22,275
2024-01-23,269
2024-01-24,269
2024-01-25,278
2024-01-26,278
2024-01-27,276
2024-01-28,285
2024-01-29,256
2024-01-30,265
2024-01-31,295
2024-02-01,281
2024-02-02,278
2024-02-03,271
2024-02-04,290
2024-02-05,247
2024-02-06,260
2024-02-07,238
2024-02-08,269
2024-02-09,270
2024-02-10,258
2024-02-11,245
2024-02-12,269
2024-02-13,249
2024-02-14,277
2024-02-15,258
2024-02-16,240
2024-02-17,244
2024-02-18,275
2024-02-19,253
2024-02-20,274
2024-02-21,297
2024-02-22,254
2024-02-23,262
2024-02-24,245
2024-02-25,287
2024-02-26,256
2024-02-27,263
2024-02-28,286
2024-02-29,248
2024-03-01,73
2024-03-02,157
2024-03-03,290
2024-03-04,244
2024-03-05,296
2024-03-06,282
2024-03-07,257
2024-03-08,251
2024-03-09,313
2024-03-10,294
2024-03-11,292
2024-03-12,244
2024-03-13,269
2024-03-14,284
2024-03-15,264
2024-03-16,233
2024-03-17,253
2024-03-18,291
2024-03-19,252
2024-03-20,275
2024-03-21,293
2024-03-22,267
2024-03-23,262
2024-03-24,248
2024-03-25,304
2024-03-26,288
2024-03-27,275
2024-03-28,256
2024-03-29,259
2024-03-30,285
2024-03-31,266
2024-04-01,63
2024-04-02,153
2024-04-03,267
2024-04-04,252
2024-04-05,240
2024-04-06,282
2024-04-07,245
2024-04-08,280
2024-04-09,302
2024-04-10,250
2024-04-11,253
2024-04-12,291
2024-04-13,265
2024-04-14,284
2024-04-15,298
2024-04-16,251
2024-04-17,288
2024-04-18,256
2024-04-19,304
2024-04-20,255
2024-04-21,265
2024-04-22,254
2024-04-23,285
2024-04-24,271
2024-04-25,276
2024-04-26,270
2024-04-27,269
2024-04-28,292
2024-04-29,249
2024-04-30,271
